Molecular Weight,AlogP,Smiles,IC50_nM,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
422.36,4.32,CC1c2ncn(-c3ccc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1F,1545.3,5.81,13.76,0.26,1.49,11.39
418.39,4.49,Cc1c(C(=O)N2CCc3c(ncn3-c3ccc(F)cn3)C2C)cccc1C(F)(F)F,1253.1,5.9,14.11,0.27,1.41,11.57
389.25,3.12,CC1c2nnn(-c3ncccn3)c2CCN1C(=O)c1ccc(Cl)cc1Cl,192.3,6.72,17.25,0.35,3.6,8.74
452.84,5.23,C[C@H]1Cc2c(nnn2-c2ccc(F)cc2)[C@H](C)N1C(=O)c1cccc(C(F)(F)F)c1Cl,1682.7,5.77,12.75,0.25,0.54,11.32
435.84,4.4,Cc1cccc(-n2nnc3c2CCN(C(=O)c2cccc(C(F)(F)F)c2Cl)C3C)n1,14.3,7.84,18.0,0.36,3.44,12.27
425.23,3.23,C[C@H]1Cc2c(nnn2-c2ncc(F)cn2)CN1C(=O)c1ccc(Cl)c(F)c1Cl,18.0,7.75,18.21,0.38,4.51,10.08
425.23,3.23,CC1Cc2c(nnn2-c2ncc(F)cn2)CN1C(=O)c1ccc(Cl)c(F)c1Cl,83.4,7.08,16.65,0.35,3.85,9.22
392.32,2.41,O=C(c1cccc(C(F)(F)F)c1F)N1CCc2c(nnn2-c2cnccn2)C1,1457.1,5.84,14.88,0.28,3.43,7.6
422.8,3.49,CC1c2nnn(-c3cnccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,40.8,7.39,17.48,0.35,3.9,9.62
439.8,4.44,C[C@@H]1c2n[nH]c(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,563.6,6.25,14.21,0.28,1.81,8.36
420.82,4.5,Cc1nnc2n1CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@@H]2c1ccccc1,27.0,7.57,17.99,0.36,3.07,14.83
431.85,5.32,Cc1nc2c(c(-c3ccccc3)n1)CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,4790.0,5.32,12.32,0.24,0.0,11.54
421.81,4.05,Cc1nc2c(c(-c3ccn[nH]3)n1)CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,1140.0,5.94,14.09,0.28,1.89,7.95
441.78,2.85,C[C@H]1Cc2c(nnn2-c2ncc(F)cn2)CN1C(=O)c1ccnc(C(F)(F)F)c1Cl,9.4,8.03,18.17,0.37,5.18,8.95
375.22,2.56,O=C(c1cccc(Cl)c1Cl)N1CCc2c(ncnc2-n2nccn2)C1,2483.1,5.61,14.94,0.31,3.05,7.3
408.77,2.93,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCc2c(ncnc2-n2nccn2)C1,67.9,7.17,17.54,0.35,4.24,9.33
488.66,4.33,O=C(NCC1(N2CCN(c3ccccc3)CC2)CCOCC1)c1cccnc1Sc1ccccc1,63.1,7.2,14.73,0.28,2.87,12.48
